AS568B Number,Nominal ID,Nominal OD,Nominal CS,Actual ID,Actual CS,Actual ID mm,Actual CS mm
-447,9,9-1/2,1/4,8.975ñ.055,.275ñ.006,227.97ñ1.40,6.99ñ0.15
-448,9-1/2,10,1/4,9.475ñ.055,.275ñ.006,240.67ñ1.40,6.99ñ0.15
-449,10,10-1/2,1/4,9.975ñ.055,.275ñ.006,253.37ñ1.40,6.99ñ0.15
-450,10-1/2,11,1/4,10.475ñ.060,.275ñ.006,266.07ñ1.52,6.99ñ0.15
-451,11,11-1/2,1/4,10.975ñ.060,.275ñ.006,278.77ñ1.52,6.99ñ0.15
-452,11-1/2,12,1/4,11.475ñ.060,.275ñ.006,291.47ñ1.52,6.99ñ0.15
-453,12,12-1/2,1/4,11.975ñ.060,.275ñ.006,304.17ñ1.52,6.99ñ0.15
-454,12-1/2,13,1/4,12.475ñ.060,.275ñ.006,316.87ñ1.52,6.99ñ0.15
-455,13,13-1/2,1/4,12.975ñ.060,.275ñ.006,329.57ñ1.52,6.99ñ0.15
-456,13-1/2,14,1/4,13.475ñ.070,.275ñ.006,342.27ñ1.78,6.99ñ0.15
-457,14,14-1/2,1/4,13.975ñ.070,.275ñ.006,354.97ñ1.78,6.99ñ0.15
-458,14-1/2,15,1/4,14.475ñ.070,.275ñ.006,367.67ñ1.78,6.99ñ0.15
-459,15,15-1/2,1/4,14.975ñ.070,.275ñ.006,380.37ñ1.78,6.99ñ0.15
-460,15-1/2,16,1/4,15.475ñ.070,.275ñ.006,393.07ñ1.78,6.99ñ0.15
-461,16,16-1/2,1/4,15.955ñ.075,.275ñ.006,405.26ñ1.91,6.99ñ0.15
-462,16-1/2,17,1/4,16.455ñ.075,.275ñ.006,417.96ñ1.91,6.99ñ0.15
-463,17,17-1/2,1/4,16.955ñ.080,.275ñ.006,430.66ñ2.03,6.99ñ0.15
-464,17-1/2,18,1/4,17.455ñ.085,.275ñ.006,443.36ñ2.16,6.99ñ0.15
-465,18,18-1/2,1/4,17.955ñ.085,.275ñ.006,456.06ñ2.16,6.99ñ0.15
-466,18-1/2,19,1/4,18.455ñ.085,.275ñ.006,468.76ñ2.16,6.99ñ0.15
-467,19,19-1/2,1/4,18.955ñ.090,.275ñ.006,481.46ñ2.29,6.99ñ0.15
-468,19-1/2,20,1/4,19.455ñ.090,.275ñ.006,494.16ñ2.29,6.99ñ0.15
-469,20,20-1/2,1/4,19.955ñ.095,.275ñ.006,506.86ñ2.41,6.99ñ0.15
-470,21,21-1/2,1/4,20.955ñ.095,.275ñ.006,532.26ñ2.41,6.99ñ0.15
-471,22,22-1/2,1/4,21.955ñ.100,.275ñ.006,557.66ñ2.54,6.99ñ0.15
-472,23,23-1/2,1/4,22.940ñ.105,.275ñ.006,582.68ñ2.67,6.99ñ0.15
-473,24,24-1/2,1/4,23.940ñ.110,.275ñ.006,608.08ñ2.79,6.99ñ0.15
-474,25,25-1/2,1/4,24.940ñ.115,.275ñ.006,633.48ñ2.92,6.99ñ0.15
-475,26,26-1/2,1/4,25.940ñ.120,.275ñ.006,658.88ñ3.05,6.99ñ0.15
-901,,,,,,,
,,,,,,,
,,,,,,,
,.185ñ.005,.056ñ.003,4.70ñ0.13,1.42ñ0.08,,,
-902,,,,,,,
,,,,,,,
,,,,,,,
,.239ñ.005,.064ñ.003,6.07ñ0.13,1.63ñ0.08,,,
-903,,,,,,,
,,,,,,,
,,,,,,,
,.301ñ.005,.064ñ.003,7.65ñ0.13,1.63ñ0.08,,,
-904,,,,,,,
,,,,,,,
,,,,,,,
,.351ñ.005,.072ñ.003,8.92ñ0.13,1.83ñ0.08,,,
-905,,,,,,,
,,,,,,,
,,,,,,,
,.414ñ.005,.072ñ.003,10.52ñ0.13,1.83ñ0.08,,,
-906,,,,,,,
,,,,,,,
,,,,,,,
,.468ñ.005,.078ñ.003,11.89ñ0.13,1.98ñ0.08,,,
-907,,,,,,,
,,,,,,,
,,,,,,,
,.530ñ.007,.082ñ.003,13.46ñ0.18,2.08ñ0.08,,,
-908,,,,,,,
,,,,,,,
,,,,,,,
,.644ñ.009,.087ñ.003,16.36ñ0.23,2.21ñ0.08,,,
-909,,,,,,,
,,,,,,,
,,,,,,,
,.706ñ.009,.097ñ.003,17.93ñ0.23,2.46ñ0.08,,,
-910,,,,,,,
,,,,,,,
,,,,,,,
,.755ñ.009,.097ñ.003,19.18ñ0.23,2.46ñ0.08,,,
-911,,,,,,,
,,,,,,,
,,,,,,,
,.863ñ.009,.116ñ.004,21.92ñ0.23,2.95ñ0.10,,,
-912,,,,,,,
,,,,,,,
,,,,,,,
,.924ñ.009,.116ñ.004,23.47ñ0.23,2.95ñ0.10,,,
-913,,,,,,,
,,,,,,,
,,,,,,,
,.986ñ.010,.116ñ.004,25.04ñ0.25,2.95ñ0.10,,,
-914,,,,,,,
,,,,,,,
,,,,,,,
,1.047ñ.010,.116ñ.004,26.59ñ0.25,2.95ñ0.10,,,
-916,,,,,,,
,,,,,,,
,,,,,,,
,1.171ñ.010,.116ñ.004,29.74ñ0.25,2.95ñ0.10,,,
-918,,,,,,,
,,,,,,,
,,,,,,,
,1.355ñ.012,.116ñ.004,34.42ñ0.30,2.95ñ0.10,,,
-920,,,,,,,
,,,,,,,
,,,,,,,
,1.475ñ.014,.118ñ.004,37.47ñ0.36,3.00ñ0.10,,,
-924,,,,,,,
,,,,,,,
,,,,,,,
,1.720ñ.014,.118ñ.004,43.69ñ0.36,3.00ñ0.10,,,
-928,,,,,,,
,,,,,,,
,,,,,,,
,2.090ñ.018,.118ñ.004,53.09ñ0.46,3.00ñ0.10,,,
-932,,,,,,,
,,,,,,,
,,,,,,,
,2.338ñ.019,.118ñ.004,59.37ñ0.47,3.00ñ0.10,,,
