vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,15,HP Carbide Endmill,620,-1,0.0009,0.0012,0.002,0.0037,0.0042,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,16,HP Carbide Endmill,520,-1,0.0009,0.0012,0.0019,0.0035,0.0039,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,17,HP Carbide Endmill,620,-1,0.0009,0.0012,0.002,0.0037,0.0084,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,18,HP Carbide Endmill,520,-1,0.0009,0.0012,0.0019,0.0035,0.0039,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,19,HP Carbide Endmill,620,-1,0.0009,0.0012,0.002,0.0037,0.0084,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,20,HP Carbide Endmill,520,-1,0.0009,0.0012,0.0019,0.0035,0.0039,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,21,HP Carbide Endmill,520,-1,0.0009,0.0012,0.0019,0.0035,0.0039,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,3,HP Carbide Endmill,785,-1,0.0009,0.0012,0.0019,0.0037,0.004,-1,-1,-1,-1,-1,-1,-1,1
OSG,EXOCARB®-HP Ballnose Endmill,3030,,http://osgtool.com/_branding/osgtool.com/files/catalogpages/USCTS08%20611.pdf,4,HP Carbide Endmill,785,-1,0.0009,0.0012,0.0019,0.0037,0.004,-1,-1,-1,-1,-1,-1,-1,1
