Manufacturer,Product,Mfg #,Insert #,url
OSG,Exocarb Aero UVX 4-Flute Stub Len Corner Rad Endmill,2045,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbAeroSUS4FluteEndmill2045.csv
OSG,Exocarb Aero UVX 4-Flute Endmill,2046,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbAeroSUS4FluteEndmill2046.csv
OSG,Exocarb Aero UVX 4-Flute Corner Rad Endmill,2047,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbAeroSUS4FluteEndmill2047.csv
OSG,EXOCARB®-Aero™ BLIZZARD® 3-Flute Reduced Neck Endmill,2048,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbAeroBlizzard3FluteEndmill2048.csv
OSG,EXOCARB®-Aero™-SUS 4-Flute Endmill,2050 and 2052,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbAeroUVX4Flute.csv
OSG,Exocarb HP Endmills,2002,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbHPEndmill.csv
OSG,Exocarb HP Ballnose Endmills,3030,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/OSGExocarbHPBallnoseEndmill.csv
Promax,3 Fl 40 Deg Roughing End Mill for Light Alloys,102,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/PromaxLightAlloyRoughingEM102.csv
Sandvik,R390 90 Degree Facemill,R390,GC1030,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/SandvikR39090DegreeFacemillGC1030.csv
Titan,Excelerator Variable Helix,601,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/TitanExelerator601.csv
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4V00,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/Widia_4V00Endmill.csv
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4V05,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/Widia_4V05Endmill.csv
Widia (was Hanita),HP Solid Carbide End Mill Varimill,4VN5/4VP5,,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/Widia_4VN5-4VP5Endmill.csv
Widia,SEHT/SEHW42 Insert 45 degree Facemill,TS45F and Similar,SEHT43/SEHW43 Uncoated,http://www.cnccookbook.com/img/GWizard/Downloads/Tooling/WidiaTS45FSEHT4345DegreeFacemill.csv
