vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Glacern,"Endmill, 90 Degree Lead",EM90-100A,Mitsubishi HTI10 (Cast Iron & Non-Ferrous),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,0,Indexable End / Facemill,1300,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Glacern,"Endmill, 90 Degree Lead",EM90-100A,Mitsubishi HTI10 (Cast Iron & Non-Ferrous),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,1,Indexable End / Facemill,1150,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,1
Glacern,"Endmill, 90 Degree Lead",EM90-100A,Mitsubishi HTI10 (Cast Iron & Non-Ferrous),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,3,Indexable End / Facemill,300,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,1
Glacern,"Endmill, 90 Degree Lead",EM90-100A,Mitsubishi HTI10 (Cast Iron & Non-Ferrous),http://www.mitsubishicarbide.com/mms/en/product/pdf/c_n_other/c004b_11_rotating_tool_inserts.pdf,4,Indexable End / Facemill,300,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,1
