vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Iscar,HELIALU,HM90 EAL-16,HM90 APCR 1605**R-P IC28,,0,Indexable Endmill,1130,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1
Iscar,HELIALU,HM90 EAL-16,HM90 APCR 1605**R-P IC28,,1,Indexable Endmill,1705,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1
Iscar,HELIALU,HM90 EAL-16,HM90 APCR 1605**R-P IC28,,2,Indexable Endmill,920,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,1
