vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,15,,430,-1,0.0006,-1,0.0014,0.002,0.003,0.004,0.0045,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,18,,340,-1,0.0005,-1,0.0012,0.0018,0.0025,0.0035,0.004,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,21,,200,-1,0.0004,-1,0.001,0.0016,0.0022,0.0032,0.0035,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,4,,400,-1,0.0005,-1,0.0014,0.002,0.0035,0.005,0.0052,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,12,,315,-1,0.0005,-1,0.0014,0.002,0.0035,0.005,0.0052,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,13,,200,-1,0.0004,-1,0.0013,0.0018,0.0032,0.0045,0.0046,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,14,,230,-1,0.0005,-1,0.0015,0.002,0.0035,0.005,0.0052,-1,-1,-1,-1,-1,1
MariTool,4 Flute Square End TIALN Coated Finisher End Mill,1001,,http://www.maritool.com/Cutting-Tools-End-Mills-Finishers-Square-End-4-fl.-sqr-end-TIALN-coated/c78_79_80_81/index.html,22,,300,-1,0.0005,-1,0.001,0.0016,0.0022,0.0035,0.004,-1,-1,-1,-1,-1,1
