vendor,product,idNo,insNo,link,material,tool,sfm,ipt00625,ipt01250,ipt01875,ipt02500,ipt03750,ipt05000,ipt07500,ipt10000,ipt15000,ipt20000,ipt30000,ipt40000,ipt50000,version
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,0,,800,-1,0.001,0.002,0.002,0.003,0.004,0.006,0.007,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,1,,800,-1,0.001,0.002,0.002,0.003,0.004,0.006,0.007,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,2,,800,-1,0.001,0.001,0.002,0.0025,0.003,0.004,0.005,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,3,,100,-1,0.0005,0.001,0.0015,0.002,0.002,0.004,0.005,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,4,,100,-1,0.0005,0.001,0.002,0.003,0.004,0.006,0.008,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,5,,200,-1,0.04,0.04,0.06,0.08,0.01,0.015,0.02,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,6,,800,-1,0.001,0.001,0.002,0.0025,0.003,0.004,0.005,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,8,,1000,-1,0.001,0.002,0.002,0.003,0.004,0.008,0.009,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,10,,200,-1,0.001,0.002,0.003,0.004,0.006,0.001,0.015,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,12,,100,-1,0.0001,0.0002,0.0005,0.001,0.0015,0.003,0.004,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,13,,100,-1,0.0001,0.0002,0.0005,0.0005,0.001,0.003,0.004,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,14,,80,-1,0.0005,0.0005,0.001,0.001,0.002,0.004,0.006,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,15,,100,-1,0.0005,0.001,0.0015,0.002,0.003,0.005,0.006,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,18,,150,-1,0.0005,0.0005,0.001,0.002,0.0025,0.004,0.005,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,20,,100,-1,0.0005,0.0005,0.001,0.001,0.001,0.002,0.004,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,21,,50,-1,0.0005,0.0005,0.001,0.001,0.001,0.002,0.004,-1,-1,-1,-1,-1,1
Niagara,Solid Carbide End Mill,,,http://www.niagaracutter.com/solidcarbide/index.html,22,,50,-1,0.0005,0.0005,0.0005,0.001,0.001,0.002,0.004,-1,-1,-1,-1,-1,1
